Tract Code,State,County,Latitude,Longitude,Total Cash Rent,Total Cash Rent MG,Less than $100,Less than $100 MG,$100 to $149,$100 to $149 MG,$150 to $199,$150 to $199 MG,$200 to $249,$200 to $249 MG,$250 to $299,$250 to $299 MG,$300 to $349,$300 to $349 MG,$350 to $399,$350 to $399 MG,$400 to $449,$400 to $449 MG,$450 to $499,$450 to $499 MG,$500 to $549,$500 to $549 MG,$550 to $599,$550 to $599 MG,$600 to $649,$600 to $649 MG,$650 to $699,$650 to $699 MG,$700 to $749,$700 to $749 MG,$750 to $799,$750 to $799 MG,$800 to $899,$800 to $899 MG,$900 to $999,$900 to $999 MG,"$1,000 to $1,249","$1,000 to $1,249 MG","$1,250 to $1,499","$1,250 to $1,499 MG","$1,500 to $1,999","$1,500 to $1,999 MG","$2,000 to $2,499","$2,000 to $2,499 MG","$2,500 to $2,999","$2,500 to $2,999 MG","$3,000 to $3,499","$3,000 to $3,499 MG","$3,500 or more","$3,500 or more MG",No Cash Rent,No Cash Rent MG
2415,Florida,Leon County,30.524592,-84.228591,173,86,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,14,21,0,15,0,15,6,9,7,11,31,35,52,53,63,54,0,15,0,15,0,15,10,16
2416,Florida,Leon County,30.521553,-84.2582,151,99,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,61,68,23,21,0,15,67,68,0,15,0,15,0,15
2418,Florida,Leon County,30.590462,-84.240998,144,77,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,31,37,11,20,102,67,0,15,0,15,0,15,0,15,14,21
2419,Florida,Leon County,30.597515,-84.232287,122,76,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,32,40,0,15,25,32,65,62,0,15,0,15,0,15,0,15
2420,Florida,Leon County,30.537716,-84.197497,97,68,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,16,23,26,44,55,53,0,15,0,15,0,15,0,15,7,14
2421,Florida,Leon County,30.548749,-84.205929,107,114,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,23,40,66,103,18,24,0,15,0,15,0,15,0,15,12,19
2422,Florida,Leon County,30.568549,-84.265378,7,12,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,7,12,0,15,0,15,5,9
2423,Florida,Leon County,30.554862,-84.241759,251,92,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,17,27,0,15,0,15,0,15,0,15,0,15,23,25,85,60,34,32,0,15,20,28,0,15,72,43,37,54
2505,Florida,Leon County,30.468143,-84.215632,1468,299,0,21,0,21,0,21,0,21,0,21,0,21,40,49,0,21,0,21,0,21,0,21,0,21,51,62,0,21,139,197,280,163,124,109,258,169,124,82,331,152,48,38,73,48,0,21,0,21,68,68
2507,Florida,Leon County,30.461675,-84.092907,25,17,0,15,0,15,0,15,0,15,0,15,0,15,0,15,6,9,0,15,0,15,0,15,0,15,7,10,0,15,6,9,0,15,0,15,0,15,0,15,6,9,0,15,0,15,0,15,0,15,7,13
2509,Florida,Leon County,30.434555,-84.216178,1095,165,0,15,0,15,0,15,0,15,0,15,83,140,15,25,17,26,34,56,16,18,0,15,0,15,9,14,86,119,10,17,78,62,21,25,273,132,175,138,270,132,0,15,0,15,8,14,0,15,3,5
2511,Florida,Leon County,30.484412,-84.201111,232,62,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,5,8,0,15,39,40,28,23,140,52,10,11,0,15,5,7,5,8,0,15
2512,Florida,Leon County,30.471654,-84.16367,29,39,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,11,18,0,15,0,15,0,15,18,36,0,15,0,15,0,15
2513,Florida,Leon County,30.45372,-84.172325,45,42,0,15,0,15,0,15,0,15,0,15,0,15,0,15,31,39,0,15,0,15,0,15,0,15,8,12,0,15,0,15,0,15,0,15,0,15,0,15,6,11,0,15,0,15,0,15,0,15,0,15
2514,Florida,Leon County,30.508338,-84.14672,95,85,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,8,15,61,80,21,32,0,15,0,15,5,11,0,15,0,15,0,15
2515,Florida,Leon County,30.536215,-84.082785,80,101,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,61,98,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
2516,Florida,Leon County,30.419021,-84.167552,447,151,0,15,0,15,0,15,32,41,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,168,116,14,23,110,77,76,63,47,55,0,15,0,15,0,15,0,15,0,15
2517,Florida,Leon County,30.434035,-84.185146,105,67,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,7,12,46,49,0,15,20,31,16,28,16,26,0,15,0,15,18,28
2603,Florida,Leon County,30.330299,-84.290149,957,317,0,21,0,21,0,21,0,21,0,21,0,21,47,73,0,21,27,33,269,240,12,20,47,59,0,21,55,88,210,196,37,43,187,111,28,49,38,46,0,21,0,21,0,21,0,21,0,21,7,13
2604,Florida,Leon County,30.16839,-85.769684,189,81,0,15,7,11,0,15,0,15,0,15,0,15,0,15,9,14,13,22,12,16,33,40,0,15,21,25,9,14,20,31,26,29,11,14,28,40,0,15,0,15,0,15,0,15,0,15,0,15,31,38
